Age,Household Income,Household Occupancy Type,Eating Out Frequency (Monthly),Preferred Meal Time,Ordering Style,Average Spend per Visit (GBP),Loyalty Program Usage,Total Visits in Last 6 Months,Dining Motivation,Food Values,Openness to New Cuisines,Customer Review
22,High,Couple,11,Breakfast,Takeout,9.24,No,24,Social Aspect,Experimental,High,The portions were generous and the flavors authentic.
48,Medium,Couple,13,Dinner,Dine-in,33.36,Yes,3,Taste,Experimental,High,The portions were generous and the flavors authentic.
27,High,Multigenerational,13,Lunch,Dine-in,28.84,No,18,Convenience,Experimental,Medium,"Not my usual spot, but I was pleasantly surprised."
38,Low,Couple,0,Late-night,Delivery,54.66,Yes,3,Convenience,Healthy,Medium,Felt like I was eating at a friend's house. So comforting.
39,Medium,Couple,4,Late-night,Dine-in,40.78,Yes,22,Tradition,Experimental,High,"Not my usual spot, but I was pleasantly surprised."
24,High,Single,3,Late-night,Takeout,5.67,No,6,Taste,Experimental,High,The service was friendly and the food felt homemade.
63,Low,Multigenerational,3,Late-night,Dine-in,28.93,Yes,4,Tradition,Locally Sourced,Low,The service was friendly and the food felt homemade.
54,Low,Couple,7,Late-night,Delivery,40.85,Yes,35,Convenience,Locally Sourced,Medium,"The wait was a bit long, but the food made up for it."
58,High,Single,3,Late-night,Dine-in,21.95,No,25,Convenience,Comfort Food,Low,Felt like I was eating at a friend's house. So comforting.
54,Low,Family with Kids,11,Late-night,Delivery,47.71,No,29,Convenience,Healthy,Low,Great experience! Will definitely be coming back soon.
53,Medium,Single,4,Breakfast,Dine-in,27.64,Yes,37,Tradition,Comfort Food,Medium,The service was friendly and the food felt homemade.
51,Medium,Multigenerational,9,Breakfast,Takeout,25.09,Yes,16,Taste,Locally Sourced,Medium,Felt like I was eating at a friend's house. So comforting.
54,High,Single,5,Breakfast,Delivery,44.91,No,14,Tradition,Healthy,Low,The service was friendly and the food felt homemade.
52,High,Family with Kids,5,Breakfast,Dine-in,36.58,Yes,17,Tradition,Experimental,Medium,The service was friendly and the food felt homemade.
43,High,Family with Kids,13,Dinner,Dine-in,47.05,No,9,Tradition,Experimental,Low,Great experience! Will definitely be coming back soon.
53,Low,Family with Kids,10,Dinner,Dine-in,25.55,No,31,Convenience,Healthy,Medium,I loved the cozy atmosphere and the fresh ingredients.
30,High,Couple,4,Lunch,Delivery,56.18,Yes,17,Social Aspect,Comfort Food,Medium,"The wait was a bit long, but the food made up for it."
19,High,Couple,13,Lunch,Delivery,48.32,Yes,21,Tradition,Healthy,Low,"Not my usual spot, but I was pleasantly surprised."
39,Medium,Single,6,Lunch,Takeout,42.54,No,25,Convenience,Experimental,Medium,A perfect spot for a quiet meal and good conversation.
60,High,Family with Kids,5,Late-night,Delivery,32.38,No,34,Tradition,Locally Sourced,High,"Affordable, delicious, and a true neighborhood gem."
61,Low,Couple,1,Lunch,Takeout,14.0,Yes,39,Social Aspect,Comfort Food,High,The portions were generous and the flavors authentic.
70,Low,Family with Kids,12,Late-night,Takeout,40.71,No,22,Social Aspect,Comfort Food,Low,Tried something new and absolutely loved it.
55,Medium,Single,5,Lunch,Takeout,15.77,Yes,39,Convenience,Comfort Food,High,I loved the cozy atmosphere and the fresh ingredients.
52,Low,Family with Kids,5,Breakfast,Takeout,22.84,Yes,0,Taste,Healthy,Medium,"The wait was a bit long, but the food made up for it."
41,High,Multigenerational,10,Dinner,Dine-in,9.18,No,7,Taste,Comfort Food,High,Great experience! Will definitely be coming back soon.
69,Medium,Family with Kids,1,Dinner,Dine-in,43.57,No,0,Convenience,Healthy,High,"The wait was a bit long, but the food made up for it."
52,Low,Family with Kids,2,Lunch,Delivery,45.53,Yes,10,Tradition,Healthy,High,A perfect spot for a quiet meal and good conversation.
55,High,Multigenerational,1,Late-night,Dine-in,6.21,No,4,Convenience,Experimental,Low,I loved the cozy atmosphere and the fresh ingredients.
38,High,Couple,1,Dinner,Dine-in,10.25,No,23,Tradition,Experimental,Medium,"The wait was a bit long, but the food made up for it."
32,Medium,Family with Kids,4,Late-night,Delivery,24.83,No,31,Tradition,Healthy,Medium,A perfect spot for a quiet meal and good conversation.
28,Low,Couple,2,Lunch,Dine-in,20.1,Yes,15,Taste,Experimental,High,Tried something new and absolutely loved it.
61,High,Family with Kids,13,Lunch,Takeout,33.0,Yes,27,Tradition,Locally Sourced,Medium,A perfect spot for a quiet meal and good conversation.
27,Medium,Family with Kids,4,Dinner,Takeout,29.57,Yes,32,Tradition,Comfort Food,Medium,I loved the cozy atmosphere and the fresh ingredients.
60,Low,Family with Kids,4,Late-night,Delivery,31.91,Yes,6,Convenience,Healthy,Medium,Tried something new and absolutely loved it.
41,Low,Multigenerational,12,Breakfast,Dine-in,49.64,Yes,8,Tradition,Experimental,Medium,A perfect spot for a quiet meal and good conversation.
23,High,Multigenerational,0,Lunch,Delivery,47.63,Yes,25,Tradition,Healthy,High,"The wait was a bit long, but the food made up for it."
44,High,Couple,11,Breakfast,Dine-in,14.39,Yes,3,Convenience,Locally Sourced,Medium,Tried something new and absolutely loved it.
18,Medium,Family with Kids,12,Lunch,Takeout,55.96,Yes,7,Social Aspect,Locally Sourced,High,I loved the cozy atmosphere and the fresh ingredients.
47,High,Couple,11,Late-night,Delivery,22.98,No,22,Social Aspect,Comfort Food,High,Felt like I was eating at a friend's house. So comforting.
22,High,Multigenerational,12,Breakfast,Dine-in,20.59,Yes,11,Social Aspect,Healthy,High,A perfect spot for a quiet meal and good conversation.
47,Low,Single,8,Breakfast,Dine-in,28.77,Yes,4,Tradition,Locally Sourced,Low,The portions were generous and the flavors authentic.
37,High,Single,1,Lunch,Dine-in,13.09,Yes,36,Social Aspect,Healthy,Low,A perfect spot for a quiet meal and good conversation.
36,Low,Multigenerational,4,Lunch,Takeout,56.69,No,39,Tradition,Experimental,Low,The portions were generous and the flavors authentic.
63,Medium,Multigenerational,7,Late-night,Delivery,5.16,Yes,0,Convenience,Healthy,Low,Tried something new and absolutely loved it.
19,Low,Single,13,Lunch,Delivery,43.39,Yes,34,Taste,Healthy,Low,Felt like I was eating at a friend's house. So comforting.
42,Medium,Family with Kids,13,Breakfast,Dine-in,24.15,No,28,Tradition,Comfort Food,High,"The wait was a bit long, but the food made up for it."
49,High,Multigenerational,11,Lunch,Delivery,18.04,No,38,Convenience,Comfort Food,Medium,A perfect spot for a quiet meal and good conversation.
30,High,Multigenerational,12,Breakfast,Dine-in,21.18,No,30,Tradition,Comfort Food,Low,I loved the cozy atmosphere and the fresh ingredients.
28,Medium,Family with Kids,13,Breakfast,Dine-in,25.54,No,28,Convenience,Locally Sourced,High,"The wait was a bit long, but the food made up for it."
20,Medium,Couple,9,Late-night,Delivery,13.87,No,14,Taste,Locally Sourced,Low,Felt like I was eating at a friend's house. So comforting.
37,Medium,Single,10,Late-night,Takeout,28.37,Yes,32,Convenience,Experimental,Medium,Felt like I was eating at a friend's house. So comforting.
26,High,Single,3,Breakfast,Dine-in,42.23,Yes,7,Social Aspect,Experimental,High,Tried something new and absolutely loved it.
26,Medium,Single,13,Dinner,Takeout,33.37,No,9,Taste,Healthy,Medium,Felt like I was eating at a friend's house. So comforting.
43,Medium,Family with Kids,11,Breakfast,Dine-in,46.96,Yes,17,Taste,Locally Sourced,Low,The service was friendly and the food felt homemade.
18,High,Couple,13,Lunch,Dine-in,47.39,No,27,Taste,Locally Sourced,High,Tried something new and absolutely loved it.
27,Medium,Multigenerational,2,Late-night,Dine-in,50.32,Yes,20,Convenience,Locally Sourced,Low,Great experience! Will definitely be coming back soon.
63,Medium,Multigenerational,10,Breakfast,Dine-in,12.88,No,15,Convenience,Comfort Food,High,Tried something new and absolutely loved it.
19,High,Single,12,Late-night,Delivery,28.9,No,18,Tradition,Experimental,Low,I loved the cozy atmosphere and the fresh ingredients.
26,High,Couple,3,Late-night,Delivery,32.14,Yes,24,Taste,Experimental,Low,A perfect spot for a quiet meal and good conversation.
70,Low,Single,1,Late-night,Delivery,9.92,Yes,32,Social Aspect,Locally Sourced,High,A perfect spot for a quiet meal and good conversation.
26,High,Couple,1,Late-night,Takeout,8.81,No,22,Convenience,Locally Sourced,Medium,"Not my usual spot, but I was pleasantly surprised."
19,Medium,Family with Kids,11,Dinner,Takeout,18.35,No,1,Taste,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
62,Medium,Single,9,Breakfast,Dine-in,12.09,No,31,Tradition,Locally Sourced,Low,Tried something new and absolutely loved it.
42,High,Family with Kids,6,Dinner,Delivery,26.7,No,18,Taste,Comfort Food,Medium,Great experience! Will definitely be coming back soon.
68,Low,Single,1,Dinner,Dine-in,23.23,No,16,Taste,Comfort Food,High,A perfect spot for a quiet meal and good conversation.
48,High,Single,6,Dinner,Takeout,48.04,No,30,Social Aspect,Locally Sourced,Medium,I loved the cozy atmosphere and the fresh ingredients.
44,Medium,Couple,3,Lunch,Dine-in,58.07,Yes,26,Convenience,Comfort Food,High,I loved the cozy atmosphere and the fresh ingredients.
58,Low,Couple,11,Dinner,Dine-in,5.12,Yes,7,Taste,Healthy,High,Tried something new and absolutely loved it.
54,High,Multigenerational,4,Lunch,Takeout,17.19,No,13,Taste,Comfort Food,High,Felt like I was eating at a friend's house. So comforting.
38,Medium,Couple,0,Late-night,Delivery,26.19,No,14,Tradition,Comfort Food,High,The service was friendly and the food felt homemade.
27,Low,Multigenerational,11,Dinner,Dine-in,29.24,No,30,Social Aspect,Locally Sourced,Medium,"Affordable, delicious, and a true neighborhood gem."
64,High,Family with Kids,5,Late-night,Takeout,59.37,Yes,39,Convenience,Comfort Food,High,Felt like I was eating at a friend's house. So comforting.
64,High,Single,2,Late-night,Dine-in,52.2,No,9,Tradition,Locally Sourced,High,The portions were generous and the flavors authentic.
59,High,Family with Kids,2,Late-night,Takeout,47.36,No,6,Convenience,Experimental,Medium,"Affordable, delicious, and a true neighborhood gem."
56,Medium,Multigenerational,11,Lunch,Delivery,44.22,No,6,Tradition,Locally Sourced,Medium,I loved the cozy atmosphere and the fresh ingredients.
70,High,Family with Kids,12,Breakfast,Delivery,7.93,No,5,Tradition,Healthy,Medium,A perfect spot for a quiet meal and good conversation.
39,Low,Family with Kids,5,Breakfast,Delivery,28.85,Yes,11,Convenience,Comfort Food,Low,The portions were generous and the flavors authentic.
32,High,Family with Kids,0,Late-night,Dine-in,49.27,No,32,Convenience,Healthy,Medium,Tried something new and absolutely loved it.
21,Low,Single,3,Lunch,Takeout,40.21,No,26,Social Aspect,Comfort Food,Medium,I loved the cozy atmosphere and the fresh ingredients.
21,Medium,Single,12,Breakfast,Takeout,24.23,No,29,Social Aspect,Locally Sourced,Medium,I loved the cozy atmosphere and the fresh ingredients.
68,High,Multigenerational,4,Lunch,Dine-in,7.0,No,0,Convenience,Experimental,High,A perfect spot for a quiet meal and good conversation.
23,Medium,Couple,1,Dinner,Delivery,51.62,No,31,Tradition,Locally Sourced,Low,"Affordable, delicious, and a true neighborhood gem."
59,High,Multigenerational,1,Breakfast,Dine-in,9.9,Yes,0,Tradition,Locally Sourced,High,Felt like I was eating at a friend's house. So comforting.
23,Low,Family with Kids,11,Late-night,Delivery,7.69,Yes,5,Social Aspect,Healthy,Low,The portions were generous and the flavors authentic.
53,Low,Multigenerational,7,Dinner,Delivery,52.26,No,4,Social Aspect,Experimental,Low,"Not my usual spot, but I was pleasantly surprised."
